estacion_origen,estacion_destino,troncal_origen,troncal_destino,id_trazado_origen,id_trazado_destino,distancia_km_real,area_origen_m2,area_destino_m2,capacidad_origen,capacidad_destino,accesos_origen,accesos_destino,misma_troncal,hora_viaje,dia_semana,hora_pico,lluvia,nivel_retraso
Biblioteca Tintal,Calle 19,Américas,Caracas,TZ009,TZ001,9.73,896.4,638.715,304,320,2,2,0,4,5,0,0,Bajo
Portal Suba,Portal Norte – Unicervantes,Suba,Norte,TZ003,TZ002,5.42,0.0,0.0,304,210,1,1,0,23,0,0,1,Medio
Carrera 53,El Tiempo – Cámara de Comercio de Bogotá,Calle_80,El_Dorado,TZ005,TZ016,4.17,183.0,289.44,152,240,1,1,0,5,2,0,0,Bajo
AV. 68,Venecia,Calle_80,Autopista_Sur,TZ005,TZ010,12.18,576.0,423.72,296,204,1,1,0,10,2,0,0,Medio
Puente Aranda,Rionegro,Américas,Suba,TZ009,TZ003,7.51,356.8,356.84,168,144,1,1,0,7,2,1,0,Alto
AV. 1 Mayo,Quiroga,Carrera_10,Caracas_Sur,TZ018,TZ012,2.29,869.28,345.4,384,144,2,1,0,18,1,1,0,Alto
AV. Jiménez - CL 13,Suba - TV. 91,Eje_Ambiental,Suba,TZ015,TZ003,15.13,0.0,1095.56,272,264,1,2,0,15,4,0,0,Medio
Calle 85,Calle 40 Sur,Norte,Caracas_Sur,TZ002,TZ012,12.65,865.68,719.68,320,392,1,2,0,7,0,1,0,Alto
Bicentenario,La Castellana,Carrera_10,NQS,TZ018,TZ008,9.27,733.04,657.2,384,232,1,1,0,18,4,1,0,Medio
San Victorino,Las Aguas - Centro Colombo Americano,Carrera_10,Eje_Ambiental,TZ018,TZ015,1.01,791.2,0.0,384,120,2,3,0,6,0,1,0,Alto
Country Sur,AV. Jiménez - Caracas,Carrera_10,Caracas,TZ018,TZ001,4.04,461.24,631.155,264,288,2,2,0,9,2,0,0,Bajo
Calle 45 - American School Way,Policarpa,Caracas,Carrera_10,TZ001,TZ018,5.47,638.89,494.72,320,264,2,2,0,11,6,0,1,Bajo
Prado,Terreros - Hospital Cardio Vascular,Norte,Soacha,TZ002,TZ011,21.46,592.0,358.0,248,356,1,1,0,17,4,1,0,Alto
CAD,Suba - Calle 100,NQS,Suba,TZ008,TZ003,7.4,520.28,357.56,272,304,2,1,0,7,2,1,0,Medio
Calle 45 - American School Way,AV. ElDorado,Caracas,NQS,TZ001,TZ008,1.33,638.89,192.4,320,260,2,1,0,17,6,0,1,Medio
AV. 68,Calle 187,Calle_80,Norte,TZ005,TZ002,9.48,576.0,122.7,296,152,1,1,0,9,2,0,1,Medio
Ricaurte - NQS,Portal 20 de Julio,NQS,Carrera_10,TZ008,TZ018,5.12,996.188,0.0,392,350,2,1,0,23,6,0,0,Bajo
Quirigua,Patio Bonito,Calle_80,Américas,TZ005,TZ009,10.26,183.0,896.4,152,304,1,2,0,6,2,1,0,Medio
Ciudad Universitaria - Lotería de Bogotá,Normandía,El_Dorado,El_Dorado,TZ016,TZ016,5.37,522.68,318.09,260,260,2,1,1,20,5,0,0,Bajo
Gratamira,La Castellana,Suba,NQS,TZ003,TZ008,5.88,357.4,657.2,144,232,1,1,0,22,3,0,0,Medio
21 Ángeles,Movistar Arena,Suba,NQS,TZ003,TZ008,9.51,376.6,491.28,144,272,1,1,0,9,4,0,0,Medio
Carrera 47,De La Sabana,Calle_80,Américas,TZ005,TZ009,8.1,620.0,385.88,304,168,1,2,0,17,0,1,0,Medio
Gratamira,AV. Américas - AV. Boyacá,Suba,Américas,TZ003,TZ009,12.67,357.4,347.145,144,272,1,1,0,18,3,1,0,Alto
San Diego,Calle 63,Carrera_10,Caracas,TZ018,TZ001,4.23,1392.36,656.6,288,0,2,2,0,11,2,0,0,Medio
Calle 106 - Maletas Explora,Gratamira,Norte,Suba,TZ002,TZ003,4.35,627.42,357.4,248,144,1,1,0,7,4,1,0,Alto
7 de Agosto,Calle 146,NQS,Norte,TZ008,TZ002,8.75,492.92,345.2,260,248,1,1,0,9,5,0,0,Medio
Socorro,Pradera - Plaza Central,Caracas_Sur,Américas,TZ012,TZ009,7.14,329.6,268.83,200,200,1,1,0,4,3,0,0,Medio
