nom_est,area_est,long_est,ancho_est,cap_biart,cap_art,num_acc,cluster,PCA1,PCA2
AV. Chile,694.56,173.64,4.0,120,224,2,1,243.71496305059412,23.133468252038142
CAN,289.44,96.48,3.0,120,140,1,0,-169.21290970044726,-40.3942015493824
Campín - UAN,491.28,122.82,4.0,120,152,2,1,33.621010554577026,-27.017093476933383
San Diego,1392.36,348.09,4.0,144,144,2,1,940.557018972801,126.03386109051948
Granja - Kr 77,1540.0,385.0,4.0,144,248,2,1,1097.2073061684712,174.0783789879214
Ricaurte - NQS,996.188,187.96,5.3,168,224,2,1,546.970308152044,23.71871090052582
Quirigua,183.0,45.75,4.0,72,80,1,0,-284.76889313742856,-103.26089896112647
Suba - Calle 100,357.56,89.39,4.0,144,160,1,0,-98.88495629687594,-43.29144571987702
Calle 75 - Zona M,463.24,115.81,4.0,120,152,1,0,5.420588767951301,-31.703070236762727
AV. Boyacá,672.6,168.15,4.0,144,160,1,0,217.95069537859928,9.353487079663125
Calle 40 Sur,719.68,179.92,4.0,168,224,2,1,271.67501701919815,35.87798348153348
AV. Américas - AV. Boyacá,347.145,115.715,3.0,120,152,1,0,-110.0166200632766,-23.460693350992813
Marsella,521.145,173.715,3.0,120,200,1,0,69.40821560552735,30.25506380419006
Niza - Calle 127,374.24,93.56,4.0,72,128,2,0,-88.66806705947266,-60.515732729204515
La Campiña,357.24,89.31,4.0,144,208,1,0,-95.4365763896675,-32.55735595379255
Transversal 86,347.13,115.71,3.0,96,144,1,0,-112.00856803610407,-29.535733208097582
Corferias,424.28,106.07,4.0,120,132,1,0,-35.33239205560386,-42.70832064794237
Guatoque - Veraguas,415.2,103.8,4.0,108,132,1,0,-45.13836486940073,-46.36234499822733
CDS - Carrera 32,385.72,96.43,4.0,48,120,2,0,-79.09943917287592,-64.66870015402787
Ciudad Universitaria - Lotería de Bogotá,522.68,130.67,4.0,120,140,2,1,64.25743198989977,-24.46687005989179
Universidad Nacional,833.59966667,188.03,4.43333333,180,232,2,1,386.6166586737492,39.386882915171725
Avenida Rojas - UNISALESIANA,531.51,177.17,3.0,120,200,1,0,79.87178031249567,32.81225188922636
Tercer Milenio,644.0,184.0,3.5,120,200,2,1,192.03164357579482,31.26614719117734
Concejo de Bogotá,491.52,122.88,4.0,120,140,1,0,32.919226959154514,-29.67421613896491
NQS - Calle 38A S,615.8,153.95,4.0,72,140,1,0,155.21071679551488,-17.45316204313238
7 de Agosto,492.92,123.23,4.0,120,140,1,0,34.32720661997752,-29.44026836750936
AV. 68,576.0,144.0,4.0,144,152,1,0,120.17173147686793,-8.586836407839286
Distrito Grafiti,347.145,115.715,3.0,120,152,1,0,-110.0166200632766,-23.460693350992813
Polo - FINCOMERCIO,880.0,220.0,4.0,168,192,1,1,430.3947323789361,55.47629928725982
Tygua - San José,486.68,121.67,4.0,96,132,2,0,26.075435379443718,-36.554009048079024
Quinta Paredes,289.47,96.49,3.0,120,140,1,0,-169.18262441909565,-40.38680013669055
Salitre - El Greco,289.44,96.48,3.0,120,140,1,0,-169.21290970044726,-40.3942015493824
Zona Industrial,385.16,96.29,4.0,48,120,2,0,-79.66263103720513,-64.7622792626101
León XIII,358.0,89.5,4.0,72,152,1,0,-103.11612979003519,-57.836082215557056
Paloquemao,491.4,122.85,4.0,120,152,1,0,33.74109394564738,-26.997377919485388
Carrera 90,568.6,142.15,4.0,144,160,1,0,113.35792057460793,-8.025490228463383
Gobernación,289.47,96.49,3.0,120,140,1,0,-169.18262441909565,-40.38680013669055
Terreros - Hospital Cardio Vascular,358.0,89.5,4.0,144,212,1,0,-94.35806092131867,-31.53139210646765
Escuela Militar,488.0,122.0,4.0,120,152,1,0,30.321714769363098,-27.5655367930203
Mandalay,347.115,115.705,3.0,96,144,1,0,-112.02371067677979,-29.53943391444352
AV. Cali,568.6,142.15,4.0,144,160,1,0,113.35792057460793,-8.025490228463383
Suba - TV. 91,1095.56,273.89,4.0,96,168,2,1,641.2535567387654,73.28389152577302
Ricaurte - CL 13,736.8,184.2,4.0,120,192,2,1,283.6822515973501,23.000297699676025
Restrepo,480.68,120.17,4.0,72,128,2,0,18.37861515338159,-42.72901787654119
Prado,592.0,148.0,4.0,72,176,1,0,134.1027154337864,-13.33960150106384
Terminal,146.37,48.79,3.0,72,80,1,0,-321.05304730760935,-97.72281689224455
Virrey,773.12,193.28,4.0,144,208,1,1,322.8138388553701,36.93850061258877
Toberin - Foundever,1206.0,335.0,3.6,216,336,1,1,773.7906139580186,182.86748404797768
Pepe Sierra,418.48,104.62,4.0,72,128,1,0,-44.17651035732439,-53.123320259885915
Calle 100 - Marketmedios,814.44,203.61,4.0,168,224,2,1,366.9751260617581,51.71290549805343
Calle 142,663.27,221.09,3.0,48,132,1,0,203.49829983493936,37.21663906569967
Portal Norte – Unicervantes,0.0,365.66,0.0,78,132,1,2,-447.68608602754364,228.25572332891917
Calle 187,122.7,40.9,3.0,72,80,1,0,-344.94813429400017,-103.56253150611906
Alcalá – Colegio S. Tomás Dominicos,820.76,205.19,4.0,168,224,2,1,373.33114853061585,52.76901258062418
Calle 146,345.2,86.3,4.0,72,176,1,0,-114.10398477414691,-54.58125149765634
Calle 127,418.28,104.57,4.0,72,128,1,0,-44.377650308870614,-53.156741370093854
